epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7845,1.13734,3.35166,1.31483,0.00461,1,0.19991,0.11293,0.82377,3.47911,1.10612,0.0001,0.0001,0.0001
2,51.937,0.96511,3.08911,1.19778,0.00461,1,0.4044,0.29114,0.78755,3.30572,1.03557,0.000217822,0.000217822,0.000217822
3,77.1074,0.88814,2.69049,1.07595,0.0815,0.73846,0.51342,0.37831,0.82318,3.08967,0.98542,0.000333268,0.000333268,0.000333268
4,91.1677,0.92207,2.11679,1.02098,0.98624,0.27692,0.64068,0.47806,0.82543,2.85562,0.97463,0.000446338,0.000446338,0.000446338
5,105.116,0.91043,2.4053,1.06301,1,0.29473,0.70189,0.49277,0.82496,2.91511,0.96791,0.000557032,0.000557032,0.000557032
6,119.262,0.94935,2.00154,1.04968,0.00461,1,0.63827,0.41511,0.79848,3.08008,0.99191,0.00066535,0.00066535,0.00066535
7,134.417,0.89655,1.99501,1.0412,0.89271,0.25621,0.59872,0.40608,0.88999,2.92336,1.04694,0.000771292,0.000771292,0.000771292
8,149.353,0.91543,1.87856,1.02099,0.76436,0.4492,0.64543,0.45685,0.90353,2.63627,1.06748,0.000874858,0.000874858,0.000874858
9,163.729,0.92788,1.66434,1.06807,0.77664,0.64197,0.76377,0.53463,0.87387,2.40087,1.0085,0.000976048,0.000976048,0.000976048
10,177.77,0.83549,1.61797,1.0238,0.59249,0.58462,0.57127,0.3746,0.92752,2.6923,1.06474,0.00107486,0.00107486,0.00107486
11,191.797,1.02278,1.95294,1.09392,0.4809,0.49231,0.43982,0.30665,0.94132,2.88928,1.07981,0.0011713,0.0011713,0.0011713
12,205.672,1.07599,1.96394,1.13851,0.81468,0.49231,0.62815,0.40656,0.96099,2.73161,1.07264,0.00126536,0.00126536,0.00126536
13,219.645,1.04653,1.80122,1.03039,0.87804,0.55381,0.72953,0.49634,1.01376,2.49343,1.0859,0.00135705,0.00135705,0.00135705
14,233.517,0.95526,1.64209,1.00998,0.53792,0.64476,0.60579,0.41138,0.97315,2.4332,1.09333,0.00144636,0.00144636,0.00144636
15,247.631,1.06924,2.0117,1.20044,0.53792,0.64476,0.60579,0.41138,0.97315,2.4332,1.09333,0.00153329,0.00153329,0.00153329
16,261.633,0.90019,1.36457,1.04161,0.48742,0.46154,0.4609,0.31043,0.93245,2.51747,1.11757,0.00161785,0.00161785,0.00161785
17,275.716,0.93165,1.50727,1.10706,0.25759,0.6,0.29673,0.20182,0.99991,2.77099,1.16823,0.0016832,0.0016832,0.0016832
18,289.618,1.023,1.57931,1.10531,0.49915,0.66154,0.62887,0.40595,1.01375,2.41677,1.1544,0.0016634,0.0016634,0.0016634
19,303.633,1.03797,1.46169,1.15969,0.49915,0.66154,0.62887,0.40595,1.01375,2.41677,1.1544,0.0016436,0.0016436,0.0016436
20,317.802,0.96787,1.40818,1.08818,0.64666,0.73212,0.73466,0.50671,0.95987,2.21511,1.08603,0.0016238,0.0016238,0.0016238
21,332.521,0.94367,1.45043,1.06568,0.66536,0.7036,0.70172,0.52743,0.92547,2.10603,1.09231,0.001604,0.001604,0.001604
22,346.935,0.8827,1.36353,1.02537,0.6798,0.69231,0.72919,0.53093,0.98589,2.01477,1.14316,0.0015842,0.0015842,0.0015842
23,361.967,0.97047,1.50684,1.11562,0.6798,0.69231,0.72919,0.53093,0.98589,2.01477,1.14316,0.0015644,0.0015644,0.0015644
24,377.594,0.81062,1.3553,1.01542,0.86791,0.80876,0.86369,0.63178,1.04883,1.77571,1.16063,0.0015446,0.0015446,0.0015446
25,393.433,0.88611,1.52472,1.05471,0.80387,0.70769,0.80184,0.59,1.00715,1.9061,1.18341,0.0015248,0.0015248,0.0015248
26,409.938,0.84443,1.34113,1.08434,0.87813,0.66517,0.77159,0.5907,0.93311,2.04645,1.14255,0.001505,0.001505,0.001505
27,426.321,0.84328,1.24317,1.06135,0.87813,0.66517,0.77159,0.5907,0.93311,2.04645,1.14255,0.0014852,0.0014852,0.0014852
28,443.083,1.02813,1.62675,1.15433,0.83838,0.66154,0.77377,0.59897,0.90503,1.98475,1.15404,0.0014654,0.0014654,0.0014654
29,459.305,0.88156,1.25932,1.05272,0.78264,0.73846,0.80395,0.60647,0.89223,1.7789,1.14965,0.0014456,0.0014456,0.0014456
30,475.287,0.85992,1.27433,1.0035,0.80997,0.86154,0.87599,0.68605,0.84504,1.50653,1.10015,0.0014258,0.0014258,0.0014258
